char,count,percent
 ,79,0.0718
2,66,0.0600
0,64,0.0582
1,62,0.0564
8,57,0.0518
4,56,0.0509
6,52,0.0473
3,50,0.0455
7,49,0.0445
5,44,0.0400
9,44,0.0400
A,41,0.0373
B,40,0.0364
K,32,0.0291
O,31,0.0282
M,30,0.0273
T,29,0.0264
E,24,0.0218
S,23,0.0209
J,22,0.0200
V,22,0.0200
N,18,0.0164
D,15,0.0136
R,15,0.0136
G,15,0.0136
L,14,0.0127
P,14,0.0127
U,13,0.0118
C,11,0.0100
Z,9,0.0082
X,9,0.0082
I,9,0.0082
H,8,0.0073
Š,5,0.0045
Ш,5,0.0045
А,4,0.0036
Б,4,0.0036
F,3,0.0027
W,3,0.0027
Г,3,0.0027
Č,2,0.0018
Ч,2,0.0018
В,1,0.0009
И,1,0.0009
