char,count,percent
-,155,0.1235
 ,79,0.0629
2,66,0.0526
0,64,0.0510
1,62,0.0494
8,57,0.0454
4,56,0.0446
6,52,0.0414
3,50,0.0398
7,49,0.0390
5,44,0.0351
9,44,0.0351
A,41,0.0327
B,40,0.0319
K,32,0.0255
O,31,0.0247
M,30,0.0239
T,29,0.0231
E,24,0.0191
S,23,0.0183
J,22,0.0175
V,22,0.0175
N,18,0.0143
D,15,0.0120
R,15,0.0120
G,15,0.0120
L,14,0.0112
P,14,0.0112
U,13,0.0104
C,11,0.0088
Z,9,0.0072
X,9,0.0072
I,9,0.0072
H,8,0.0064
Š,5,0.0040
Ш,5,0.0040
А,4,0.0032
Б,4,0.0032
F,3,0.0024
W,3,0.0024
Г,3,0.0024
Č,2,0.0016
Ч,2,0.0016
В,1,0.0008
И,1,0.0008
